Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C08,MT,11956,6/14/2010,2010,6,1,1,138,25,2,NA,1,NA,NA,NA,2008,2008,C08,2,11956,LIdri,LIdri_MT,3
C08,MT,11956,9/22/2010,2010,9,1,1,151,31,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11956,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,1,96,8.5,1,NA,NA,NA,R506,NA,2008,2008,C08,1,11972,LIdri,LIdri_MT,3
C08,MT,11972,6/14/2010,2010,6,1,1,133,22,2,NA,1,NA,NA,NA,2008,2008,C08,2,11972,LIdri,LIdri_MT,3
C11,MT,13491,6/19/2012,2012,6,1,1,122,17.9,1,NA,1,NA,44,NA,2011,2011,C11,1,13491,LIdri,LIdri_MT,3
C11,MT,13491,9/10/2012,2012,9,1,1,138,24.1,1,NA,NA,NA,NA,NA,2011,2011,C11,1,13491,LIdri,LIdri_MT,3
C11,MT,13491,9/16/2013,2013,9,1,1,170,48.4,2,NA,NA,NA,NA,NA,2011,2011,C11,2,13491,LIdri,LIdri_MT,3
C11,MT,13491,6/19/2014,2014,6,1,1,183,68.1,3,NA,NA,NA,NA,NA,2011,2011,C11,3,13491,LIdri,LIdri_MT,3
C11,MT,13491,9/3/2014,2014,9,1,1,190,68.1,3,NA,NA,NA,NA,NA,2011,2011,C11,3,13491,LIdri,LIdri_MT,3
C09,MT,13495,6/19/2012,2012,6,1,1,225,121,3,NA,NA,NA,40,NA,2009,2009,C09,3,13495,LIdri,LIdri_MT,3
C11,MT,13500,6/19/2012,2012,6,1,1,117,16,1,NA,NA,NA,69,NA,2011,2011,C11,1,13500,LIdri,LIdri_MT,3
C00,MT,13501,9/7/2009,2009,9,1,1,430,918,9,NA,1,1,NA,NA,2000,2000,C00,9,13501,LIdri,LIdri_MT,3
C00,MT,13501,6/19/2012,2012,6,1,1,464,1112.2,12,NA,NA,NA,10,NA,2000,2000,C00,12,13501,LIdri,LIdri_MT,3
C00,MT,13501,9/10/2012,2012,9,1,1,467,1163.6,12,NA,NA,NA,NA,NA,2000,2000,C00,12,13501,LIdri,LIdri_MT,3
C00,MT,13501,6/19/2014,2014,6,1,1,472,1311.3,14,NA,NA,NA,3133,NA,2000,2000,C00,14,13501,LIdri,LIdri_MT,3
C08,MT,13506,6/19/2012,2012,6,1,1,237,140.1,4,NA,NA,NA,1,NA,2008,2008,C08,4,13506,LIdri,LIdri_MT,3
C08,MT,13506,9/10/2012,2012,9,1,1,246,159.1,4,NA,NA,NA,NA,NA,2008,2008,C08,4,13506,LIdri,LIdri_MT,3
C08,MT,13506,6/20/2013,2013,6,1,1,257,178.8,5,NA,NA,NA,3180178,NA,2008,2008,C08,5,13506,LIdri,LIdri_MT,3
C08,MT,13506,9/16/2013,2013,9,1,2,260,190,5,NA,NA,NA,1173,NA,2008,2008,C08,5,13506,LIdri,LIdri_MT,3
C10,MT,13512,6/19/2012,2012,6,1,1,160,39,2,NA,NA,NA,9,NA,2010,2010,C10,2,13512,LIdri,LIdri_MT,3
C10,MT,13512,9/10/2012,2012,9,1,1,167,41.8,2,NA,NA,NA,NA,NA,2010,2010,C10,2,13512,LIdri,LIdri_MT,3
C11,MT,13514,6/19/2012,2012,6,1,1,118,16.2,1,NA,1,NA,64,NA,2011,2011,C11,1,13514,LIdri,LIdri_MT,3
C08,MT,13515,6/19/2012,2012,6,1,2,206,94.9,4,NA,1,NA,76,NA,2008,2008,C08,4,13515,LIdri,LIdri_MT,3
C96,MT,13516,6/19/2012,2012,6,1,1,525,1815.5,16,NA,NA,NA,5,NA,1996,1996,C96,16,13516,LIdri,LIdri_MT,3
C11,MT,13520,6/19/2012,2012,6,1,1,122,18.5,1,NA,1,NA,67,NA,2011,2011,C11,1,13520,LIdri,LIdri_MT,3
C11,MT,13520,6/20/2013,2013,6,1,1,168,49.9,2,NA,NA,NA,199,NA,2011,2011,C11,2,13520,LIdri,LIdri_MT,3
C11,MT,13520,9/16/2013,2013,9,1,1,188,65.4,2,NA,NA,NA,1070,NA,2011,2011,C11,2,13520,LIdri,LIdri_MT,3
C11,MT,13520,6/19/2014,2014,6,1,1,212,96.9,3,NA,NA,NA,NA,NA,2011,2011,C11,3,13520,LIdri,LIdri_MT,3
C11,MT,13521,6/19/2012,2012,6,1,1,116,15.4,1,NA,NA,NA,73,NA,2011,2011,C11,1,13521,LIdri,LIdri_MT,3
