Num,Mark,Date,Month,Year,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,Comment,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
853,15915,9/2/14,9,2014,1,1,126,19,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15915
849,15917,9/2/14,9,2014,1,1,123,18.1,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15917
826,15918,9/2/14,9,2014,1,1,127,21.2,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15918
883,15919,9/2/14,9,2014,2,1,125,20.8,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15919
885,15920,9/2/14,9,2014,2,1,115,15.5,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15920
835,15923,9/2/14,9,2014,1,1,145,30.6,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15923
886,15925,9/2/14,9,2014,2,1,120,17.1,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15925
NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,C13,NA,NA,NA,T_092013_012,NA,2013,2012,C12,1,15927
881,15927,9/2/14,9,2014,2,1,157,37,2,C12,NA,1,NA,NA,NA,2012,2012,C12,2,15927
855,15928,9/2/14,9,2014,1,1,119,15.9,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15928
880,15930,9/2/14,9,2014,2,1,158,41.6,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15930
870,15933,9/2/14,9,2014,1,1,153,37.9,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15933
833,15934,9/2/14,9,2014,1,1,151,34.5,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15934
874,15937,9/2/14,9,2014,1,1,178,59,3,C11,NA,NA,NA,NA,NA,2011,2011,C11,3,15937
830,15941,9/2/14,9,2014,1,1,146,33.1,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15941
837,15944,9/2/14,9,2014,1,1,155,36.7,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15944
NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,C13,NA,NA,NA,T_092013_026,NA,2013,2013,C13,0,15947
827,15947,9/2/14,9,2014,1,1,123,17.6,1,C13,NA,1,NA,NA,NA,2013,2013,C13,1,15947
884,15957,9/2/14,9,2014,2,1,122,20,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15957
NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,C13,NA,NA,NA,T_092013_006,NA,2013,2012,C12,1,15958
818,15958,9/2/14,9,2014,1,1,153,37.1,2,C12,NA,1,NA,NA,NA,2012,2012,C12,2,15958
NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,C13,NA,NA,NA,T_092013_003,NA,2013,2012,C12,1,15959
814,15959,9/2/14,9,2014,1,1,142,25.8,2,C12,NA,1,NA,NA,NA,2012,2012,C12,2,15959
NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,C13,NA,NA,NA,T_092013_025,NA,2013,2013,C13,0,15969
828,15969,9/2/14,9,2014,1,1,122,17.5,1,C13,NA,1,NA,NA,NA,2013,2013,C13,1,15969
825,15976,9/2/14,9,2014,1,1,154,35.9,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15976
858,15977,9/2/14,9,2014,1,1,120,16.8,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15977
864,15979,9/2/14,9,2014,1,1,138,27.2,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15979
NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,C12,NA,NA,NA,T_092012_011,NA,2012,2012,C12,0,15983
824,15983,9/2/14,9,2014,1,1,160,38.9,2,C12,NA,1,NA,NA,NA,2012,2012,C12,2,15983
817,15992,9/2/14,9,2014,1,1,190,70.1,3,C11,NA,NA,NA,NA,NA,2011,2011,C11,3,15992
872,15994,9/2/14,9,2014,1,1,172,52.1,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15994
821,15997,9/2/14,9,2014,1,1,182,60.2,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15997
822,15999,9/2/14,9,2014,1,1,213,92.3,3,C11,NA,1,NA,NA,NA,2011,2011,C11,3,15999
882,16361,9/2/14,9,2014,2,1,167,46.9,3,C11,NA,NA,NA,NA,NA,2011,2011,C11,3,16361
NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,C12,NA,NA,NA,T_092012_024,NA,2012,2011,C11,1,16413
844,16413,9/2/14,9,2014,1,1,191,67.4,3,C11,NA,NA,NA,NA,NA,2011,2011,C11,3,16413
869,16419,9/2/14,9,2014,1,1,285,222.6,6,C08,NA,NA,NA,NA,NA,2008,2008,C08,6,16419
NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,C12,NA,NA,NA,T_092012_043,NA,2012,2012,C12,0,16436
878,16442,9/2/14,9,2014,1,1,195,80.5,4,C10,NA,NA,NA,NA,NA,2010,2010,C10,4,16442
NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,C12,NA,NA,NA,T_092012_042,NA,2012,2012,C12,0,16448
865,16451,9/2/14,9,2014,1,1,159,38.6,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,16451
NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,C12,NA,NA,NA,T_092012_028,NA,2012,2012,C12,0,16458
NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,C12,NA,NA,NA,T_092012_064,NA,2012,2012,C12,0,16461
NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,C12,NA,NA,NA,T_092012_018,NA,2012,2012,C12,0,16462
823,16462,9/2/14,9,2014,1,1,177,54.2,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,16462
834,16472,9/2/14,9,2014,1,1,233,126,3,C11,NA,NA,NA,NA,NA,2011,2011,C11,3,16472
