Num,Mark,Date,Year,Month,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
64,12192,9/14/06,2006,9,1,2,143,27.2,2,C04,NA,1,NA,NA,2004,2004,C04,2,12192
56,12193,9/14/06,2006,9,1,2,232,111.6,4,C02,NA,1,NA,NA,2002,2002,C02,4,12193
150,12193,9/12/07,2007,9,2,2,257,150.9,5,C02,NA,NA,NA,NA,2002,2002,C02,5,12193
52,12194,9/14/06,2006,9,1,2,264,171.6,6,C00,NA,NA,NA,NA,2000,2000,C00,6,12194
44,12195,9/14/06,2006,9,1,2,310,291.4,7,C99,NA,1,NA,NA,1999,1999,C99,7,12195
63,12196,9/14/06,2006,9,1,2,163,41.5,2,C04,NA,NA,NA,NA,2004,2004,C04,2,12196
479,12400,9/2/14,2014,9,1,2,268,188.7,3,C11,NA,NA,NA,NA,2011,2011,C11,3,12400
475,12401,9/2/14,2014,9,1,2,230,112.9,2,C12,NA,NA,NA,NA,2012,2012,C12,2,12401
468,12409,9/2/14,2014,9,1,2,258,180.9,3,C11,NA,NA,NA,NA,2011,2011,C11,3,12409
NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,C12,NA,NA,NA,Z_092012_018,2012,2012,C12,0,12416
467,12419,9/2/14,2014,9,1,2,240,145,2,C12,NA,NA,NA,NA,2012,2012,C12,2,12419
NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,C12,NA,NA,NA,Z_092012_020,2012,2012,C12,0,12436
118,12836,9/12/07,2007,9,1,2,140,25.3,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12836
115,12841,9/12/07,2007,9,1,2,171,43.4,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12841
113,12848,9/12/07,2007,9,1,2,224,99.7,2,C05,NA,NA,NA,NA,2005,2005,C05,2,12848
117,12850,9/12/07,2007,9,1,2,143,26.9,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12850
146,12852,9/12/07,2007,9,2,2,292,214.6,6,C01,NA,1,NA,NA,2001,2001,C01,6,12852
147,12854,9/12/07,2007,9,2,2,235,115.8,3,C04,NA,NA,NA,NA,2004,2004,C04,3,12854
122,12855,9/12/07,2007,9,1,2,167,35.6,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12855
151,12857,9/12/07,2007,9,2,2,154,32.4,1,C06,NA,1,NA,NA,2006,2006,C06,1,12857
121,12858,9/12/07,2007,9,1,2,149,30.4,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12858
153,12859,9/12/07,2007,9,2,2,146,27.7,1,C06,NA,1,NA,NA,2006,2006,C06,1,12859
97,12860,9/12/07,2007,9,1,2,152,32.3,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12860
120,12861,9/12/07,2007,9,1,2,154,33.4,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12861
119,12862,9/12/07,2007,9,1,2,173,44.4,2,C05,NA,1,1,NA,2005,2005,C05,2,12862
NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,U,NA,NA,NA,Z_092003_008,NA,2000,C00,3,12864
98,12864,9/12/07,2007,9,1,2,313,257.2,7,C00,NA,1,NA,NA,2000,2000,C00,7,12864
88,12866,9/12/07,2007,9,1,2,152,33.5,1,C06,NA,NA,NA,NA,2006,2006,C06,1,12866
160,12866,9/18/08,2008,9,1,2,243,133.8,2,C06,NA,NA,NA,NA,2006,2006,C06,2,12866
181,12866,9/11/09,2009,9,1,2,312,310,3,C06,NA,NA,NA,NA,2006,2006,C06,3,12866
